team,num_of_goals_scored,num_of_goals_conceded
Ecuador,4,3
Qatar,1,7
England,13,4
Iran,4,7
Netherlands,10,4
Senegal,5,7
"United states",3,4
Wales,1,6
Argentina,15,8
"Saudi arabia",3,5
Denmark,1,3
Tunisia,1,1
Mexico,2,3
Poland,3,5
Australia,4,6
France,16,8
Croatia,8,7
Morocco,6,5
Germany,6,5
Japan,5,4
"Costa rica",3,11
Spain,9,3
Belgium,1,2
Canada,2,7
Cameroon,4,4
Switzerland,5,9
"Korea republic",5,8
Uruguay,2,2
Ghana,5,7
Portugal,12,6
Brazil,8,3
Serbia,5,8
