category,num_of_goals_scored,total_attempts,attpmpts_on_target,Percent_of_atempts_on_target
"Group A",15,113,38,34.00%
"Group B",16,125,43,34.00%
"Group C",12,135,49,36.00%
"Group D",11,136,40,29.00%
"Group F",11,125,41,33.00%
"Group E",22,147,55,37.00%
"Group G",16,136,55,40.00%
"Group H",17,133,45,34.00%
"Round of 16",28,192,73,38.00%
Quarter-final,10,92,37,40.00%
Semi-final,5,49,13,27.00%
"Play-off for third place",3,21,6,29.00%
Final,6,31,14,45.00%
